id,season_id,home_team_id,visitor_team_id,home_team_goals,visitor_team_goals,date,home_team_line_1_player_1,home_team_line_1_player_2,home_team_line_1_player_3,home_team_line_1_player_4,home_team_line_1_player_5,home_team_line_2_player_1,home_team_line_2_player_2,home_team_line_2_player_3,home_team_line_2_player_4,home_team_line_2_player_5,home_team_line_3_player_1,home_team_line_3_player_2,home_team_line_3_player_3,home_team_line_3_player_4,home_team_line_3_player_5,home_team_line_4_player_1,home_team_line_4_player_2,home_team_line_4_player_3,home_team_line_4_player_4,home_team_line_4_player_5,visitor_team_line_1_player_1,visitor_team_line_1_player_2,visitor_team_line_1_player_3,visitor_team_line_1_player_4,visitor_team_line_1_player_5,visitor_team_line_2_player_1,visitor_team_line_2_player_2,visitor_team_line_2_player_3,visitor_team_line_2_player_4,visitor_team_line_2_player_5,visitor_team_line_3_player_1,visitor_team_line_3_player_2,visitor_team_line_3_player_3,visitor_team_line_3_player_4,visitor_team_line_3_player_5,visitor_team_line_4_player_1,visitor_team_line_4_player_2,visitor_team_line_4_player_3,visitor_team_line_4_player_4,visitor_team_line_4_player_5
2195,89,202,192,4,1,2018-10-18,14825,8828,9141,47522,156200,9251,9980,30870,17823,324925,398180,42447,679954,19121,10015,162835,483027,19005,392049,218329,729478,9261,180996,45237,681727,8665,493730,265386,9249,11860,10253,20202,100743,10428,713941,9479,480896,11117,9510,338816
2199,89,216,46,4,5,2018-10-18,42963,15689,729473,100495,627548,15677,30098,40221,8657,290953,93925,301559,312260,154519,28559,182220,210557,159139,213161,359620,4214,568589,7779,16037,4122,9466,16040,575319,19286,286150,38102,496028,45236,350907,20067,51639,646029,7581,195394,195394
2216,89,931,188,0,1,2018-10-22,15169,38676,10502,546976,190623,230293,159900,267471,452518,692481,690396,95869,370798,19590,713635,9302,265531,107044,15290,45014,93217,450665,77159,163920,44792,9345,6010,41028,15043,171409,671879,24625,635330,58612,395884,10484,322665,14510,262690,195394
2240,89,204,1570,4,1,2018-10-27,16045,50414,8392,34812,34784,19352,68411,230224,216618,155438,38670,262699,117804,216616,690276,98264,47558,339639,99501,160702,8063,169149,18844,19404,38587,9371,19078,19573,700393,680426,398411,19409,379757,105752,686789,18545,34790,370828,149543,164747
2249,89,204,6116,3,4,2018-10-31,16045,50414,8392,34812,34784,19352,68411,230224,216618,155438,38670,262699,117804,216616,690276,98264,155437,47558,99501,160702,11861,216621,19539,7423,190792,18105,360011,159474,9560,395860,17615,2014,212019,300983,24782,575611,186855,124666,89445,159473
2251,89,2338,13644,2,0,2018-10-30,10256,12533,9187,33768,9122,19044,342610,24635,52849,438602,154067,45520,439717,24779,106939,38689,244213,69674,702695,328770,98986,50316,64583,353520,43870,12244,714395,615696,262697,22676,160655,21074,86653,235950,106739,22938,240138,22469,378739,312732
2283,89,6116,724,1,2,2018-11-05,11861,216621,19539,7423,190792,18105,360011,159474,9560,300983,17615,700911,212019,89445,24782,575611,186855,337914,124666,20186,11339,623511,41939,8671,504324,19013,9252,24421,17973,107117,9236,218294,176008,230214,528383,354555,47596,93930,19028,195394
2294,89,203,1621,5,2,2018-11-12,8611,514850,75220,1247,165073,154294,87970,712269,11869,20512,21050,696257,21229,28123,42441,512994,13959,90677,31639,7069,9497,205525,14391,47562,11888,43423,38674,287086,107024,9259,9570,24624,10487,19401,9250,20540,717343,309293,9583,421084
2318,89,724,198,1,3,2018-11-16,19013,9333,9252,17973,107117,9236,11339,176008,672941,504324,218294,24421,41939,729479,230214,354555,47596,93930,19028,195394,23151,4276,11864,712657,165068,11854,265805,31414,675670,639,320936,396226,42444,18726,159722,312262,312265,579198,339539,717302
2324,89,931,6116,6,4,2018-11-18,10231,627057,10502,546976,190623,15169,230293,713086,45014,692481,107044,690396,267471,452518,574183,43914,20510,95869,15290,249164,11861,18923,19539,7423,159473,216621,18105,159474,9560,300983,17615,700911,212019,190792,89445,575611,337914,379905,24782,20186
