id,league_short_name,league_full_name
1,KHL,Kontinental Hockey League
2,SHL,Swedish Hockey League
3,Liiga,Liiga
4,NLA,National League
5,Extraliga,Tipsport Extraliga
6,Extraliga,Tipsport Liga
7,DEL,Deutsche Eishockey Liga
8,ChampHL,Champions Hockey League
9,NHL,National Hockey League
10,AHL,American Hockey League
11,ECHL,ECHL
12,NCAA,NCAA Division I
13,SHL,Swedish Hockey League
14,Allsvenskan,HockeyAllsvenskan
15,Division 1,HockeyEttan
16,Division 2,HockeyTvåan
17,Division 3,HockeyTrean
18,Division 4,HockeyFyran
19,Division 5,Division 5 (Sweden)
20,Division 6,Division 6 (Sweden)
21,J20 SuperElit,J20 SuperElit
22,J20 Elit,J20 Elit
23,J20 Div.1,J20 Division 1
24,J20 Div.2,J20 Division 2
25,J18 Allsvenskan,J18 Allsvenskan
26,J18 Elit,J18 Elit
27,J18 Div.1,J18 Division 1
28,J18 Div.2,J18 Division 2
29,U16 SM,U16 SM
30,U16 Elit,U16 Elit
31,U16 Div.1,U16 Division 1
32,U16 Div.2,U16 Division 2
33,TV-Pucken,TV-Pucken
34,Liiga,Liiga
35,Mestis,Mestis
36,Suomi-sarja,Suomi-sarja
37,II-divisioona,II-divisioona
38,III-divisioona,III-divisioona
39,Jr. SM-liiga,Nuorten SM-liiga
40,Jr. A Mestis,Jr. A Mestis
41,Jr. A Suomi-sarja,Jr. A Suomi-sarja
42,Jr. B SM-sarja,Jr. B SM-sarja
43,Jr. B Mestis,Jr. B Mestis
44,Jr. B Suomi-sarja,Jr. B Suomi-sarja
45,Jr. C SM-sarja,Jr. C SM-sarja
46,Metal Ligaen,Metal Ligaen
47,1. Division,1. Division
48,Denmark U20,Denmark U20
49,Denmark U17,Denmark U17
50,Get Ligaen,Get Ligaen
51,1. Divisjon,1. divisjon
52,2. Divisjon,2. divisjon
53,3. Divisjon,Norway4
54,Norway U21,Norway U21
55,Norway U18,Norway U18
56,Iceland,Icelandic Hockey League
57,NLA,National League
58,NLB,Swiss League
59,SRL,MySports League
60,1. Liga,1. Amateur Regio League
61,U20-Elit,U20-Elit
62,U20-Top,U20-Top
63,U17-Elit,U17-Elit
64,DEL,Deutsche Eishockey Liga
65,DEL 2,DEL 2
66,Oberliga,Oberliga
67,Regionalliga,Regionalliga
68,DNL U20 Div. I,DNL U20
69,DNL U20 Div. II,DNL U20 2
70,DNL U20 Div. III,DNL U20 3
71,Germany U17 Div. I,Germany U17
72,Germany U17 Div. II,Germany U17 2
73,Erste Bank Liga,Erste Bank Eishockey Liga
74,Alps Hockey League,Alps Hockey League
75,ÖAHL,Österreichische Amateur Hockey Liga (ÖAHL)
76,EBYSL,Erste Bank Young Stars League
77,EBJL,Erste Bank Juniors League
78,Ligue Magnus,Synerglace Ligue Magnus
79,Division 1,"FFHG, Division 1"
80,Division 2,"FFHG, Division 2"
81,Division 3,"FFHG, Division 3"
82,France U17,"FFHG, U17 Elite"
83,France U20,"FFHG, U20 Elite"
84,EIHL,Elite Ice Hockey League
85,NIHL,National Ice Hockey League
86,NIHL 1,National Ice Hockey League Division 1
87,NIHL 2,National Ice Hockey League Division 2
88,England U15,English U15 Division 1
89,England U18,English U18 Division 1
90,England U20,English Under 20s
91,SNL,Scottish National League
92,BeNeLiga,BeNe League
93,Netherlands2,Eerste Divisie
94,KHL,Kontinental Hockey League
95,VHL,Vysshaya Hokkeinaya Liga
96,Russia3,Pervenstvo VHL
97,MHL,Molodyozhnaya Hokkeinaya Liga
98,NMHL,Molodyozhnaya Hokkeinaya Liga B
99,Russia U16,Russia U16
100,Russia U17,Russia U17
101,Russia U18,YHL
102,Extraliga,Tipsport Extraliga
103,1. liga,1. liga
104,2. liga,2. liga
105,Czech U16,ELIOD extraliga dorostu
106,Czech U20,DHL Juniorská liga akademií
107,Extraliga,Tipsport Liga
108,1. liga,Slovenská hokejová liga
109,Slovakia U16,Slovakia U16
110,Slovakia U18,Slovakia U18
111,Slovakia U20,Slovakia U20
112,Latvia,Optibet hokeja liga
113,Latvia2,Junioru Attistibas Hokeja liga
114,Latvia U17,Latvia U17
115,Erste Liga,Erste Liga
116,Hungary,Hungary
117,Hungary U18,Hungary U18
118,Hungary U20,Hungary U21
119,Belarus,Belarusian Extraleague A
120,Belarus2,Belarusian Extraleague B
121,Belarus3,Belarusian Higher League
122,Ukraine,Ukrainian Hockey League
123,Ukraine U19,Ukraine U19
124,Kazakhstan,Kazakhstan Hockey Championship
125,Poland,Polska Hokej Liga
126,Poland2,Polish 1. Liga
127,Poland U20,Centralna Liga Juniorow
128,Bulgaria,Bulgaria
129,Estonia,Estonia
130,Lithuania,Lithuania
131,Romania,Romania
132,Alps Hockey League,Alps Hockey League
133,IHL Elite,Italian Hockey League Serie A
134,Italian HL,Italian Hockey League
135,IHL Division 1,Division I
136,Junior League,Junior League U19
137,Italy U17,Italy U17
138,Croatia,Croatian Ice Hockey League
139,Serbia,Serbia
140,Slovenia,Slovenia
141,IntHL,International Hockey League
142,IntHL U19,IntHL U19
143,Bosnia,Bosna i Herzegovina Hockey League
144,Spain,Spain
145,Turkey,Türkiye Buz Hokeyi Süper Ligi
146,Asia League,Asia League Ice Hockey
147,CIHL HK,CIHL Hong Kong
148,China,China
149,Japan,Japan
150,Korea College,Korea College
151,AIHL,Australian Ice Hockey League
152,AIJHL,Australian Junior Hockey League
153,ECSL,East Coast Super League
154,IHSA Premier,Ice Hockey South Australia Premier League
155,IHV Premier,Ice Hockey Victoria Premier League
156,WASL,Western Australian Super League
157,NZIHL,New Zealand Ice Hockey League
158,GPHL,Gauteng Premier Hockey League
159,WPIHL,Western Province Ice Hockey League
160,Israel,Israel
161,UAE,Emirates Hockey League
162,EUHL,European University Hockey League
163,MSHL1,Moscow Student Hockey League
164,MSHL2,Moscow Student Hockey League
165,MSHL3,Moscow Student Hockey League
166,RSHL1,Russian Student Hockey League - Master Division
167,RSHL2,Russian Student Hockey League - Bachelor Division
168,SHLSPB1,Saint Petersburg Student Hockey League
169,SHLSPB2,Saint Petersburg Student Hockey League
170,NHL,National Hockey League
171,AHL,American Hockey League
172,ECHL,ECHL
173,SPHL,Southern Professional Hockey League
174,LNAH,Ligue Nord-Américaine de Hockey
175,FPHL,Federal Prospects Hockey League
176,ACH,Allan Cup Hockey
177,ACHW,Chinook Hockey League
178,WOAA,WOAA Senior AA Hockey League
179,NCAA,NCAA Division I
180,NCAA III,NCAA Division III
181,NAIA,National Association of Intercollegiate Athletics
182,ACHA,American Collegiate Hockey Association
183,ACHA II,American Collegiate Hockey Association II
184,ACHA III,American Collegiate Hockey Association III
185,BCIHL,British Columbia Intercollegiate Hockey League
186,USports,USports
187,ACAC,Alberta Colleges Athletic Conference
188,QCHL,QCHL
189,FCHL,Fort Carlton Hockey League
190,GLHL,Great Lakes Hockey League
191,LHSAAAQ,Ligue de Hockey Sénior AAA du Québec
192,LHSCE,Ligue de Hockey Senior Des Cantons Des L'Est
193,NCHL,North Central Hockey League
194,NLSHL,Central West Senior Hockey League
195,QVHL,Qu'Appelle Valley Hockey League
196,SEMHL,Southern Eastern Manitoba Hockey League
197,SVHL,Sask Valley Hockey League
198,SWHL,Sask West Hockey League
199,MWHL,Mountain West Hockey League
200,USHL,United States Hockey League
201,NAHL,North American Hockey League
202,NCDC,National Collegiate Development Conference
203,EHL,Eastern Hockey League
204,EHLP,EHLP
205,NA3HL,North American 3 Hockey League
206,USPHL Premier,United States Premier Hockey League - Premier
207,USPHL Elite,United States Premier Hockey League - Elite
208,WSHL,Western States Hockey League
209,AYHL 18U,AYHL 18U
210,AYHL 16U,AYHL 16U
211,AYHL 15U,AYHL 15U
212,CSDHL 18U,Central States Development Hockey League
213,CSDHL 16U,Central States Development Hockey League
214,CSDHL 15U,Central States Development Hockey League
215,ECEL U18,ECEL U18
216,ECEL U16,ECEL U16
217,EJEPL U18,Eastern Junior Elite Prospects League
218,EJEPL U16,Eastern Junior Elite Prospects League
219,HPHL U18,HPHL Major Midget U18
220,HPHL U16,HPHL Minor Midget U16
221,HPHL U15,HPHL U15
222,NAPHL 18U,North American Prospects Hockey League
223,NAPHL 16U,NAPHL 16U
224,NAPHL 15U,NAPHL 15U
225,NJPHL U18,National Junior Prospects Hockey League
226,NJPHL U16,National Junior Prospects Hockey League
227,T1EHL U18,Tier 1 Elite Hockey League Major Midget
228,T1EHL U16,Tier 1 Elite Hockey League Minor Midget
229,T1EHL U15,T1EHL U15
230,USPHL 18U,United States Premier Hockey League - 18U
