id,season_id,team_id,player_id,games,points,goals,assists,penalty,p_m
109,71,66,3652,79,61,21,40,74,-13
143,74,69,8492,80,52,21,31,37,-6
160,59,80,8580,66,34,22,12,18,-12
179,74,77,9475,39,9,1,8,16,-1
196,29,79,31372,33,6,1,5,2,-2
211,65,82,8810,39,25,15,10,14,-11
214,71,88,8810,72,50,27,23,44,8
231,77,83,8560,51,24,3,21,67,-4
248,77,65,8870,81,49,14,35,32,6
265,68,72,9076,47,15,8,7,17,-7
282,83,69,8898,42,24,15,9,14,0
299,71,89,10349,73,31,13,18,32,0
316,29,70,24026,69,16,10,6,36,10
332,53,71,8913,24,7,1,6,12,-1
335,62,81,8913,3,0,0,0,0,-2
356,71,88,219473,82,41,11,30,28,-6
374,65,74,11427,82,26,11,15,59,2
409,77,70,9140,54,17,11,6,27,-5
426,5,88,72768,26,3,0,3,76,-4
443,86,84,757,81,29,11,18,22,-11
459,56,73,9502,63,12,4,8,19,-2
462,65,73,9502,66,21,4,17,4,-8
479,20,65,9104,72,48,10,38,112,16
497,56,72,9629,16,1,1,0,2,-4
515,56,74,9430,16,4,1,3,2,-2
532,50,63,9074,77,70,22,48,26,-28
549,59,73,9499,78,43,16,27,36,0
566,80,77,13406,3,1,1,0,0,1
584,17,74,52055,10,0,0,0,26,-3
587,86,72,204970,3,0,0,0,2,-2
605,56,75,8985,79,28,15,13,76,9
622,2,76,54467,25,2,1,1,59,-6
639,74,78,11429,80,58,26,32,104,7
677,59,67,8945,60,26,13,13,47,-14
695,47,71,9023,7,0,0,0,0,-3
710,68,83,11722,8,2,1,1,6,4
713,50,77,8679,40,13,3,10,18,-6
730,86,80,153712,36,14,5,9,10,-7
747,65,84,12393,12,1,0,1,2,6
764,14,85,21323,45,58,14,44,72,18
782,59,82,8368,62,13,3,10,36,-14
802,29,78,42512,25,1,0,1,118,-5
821,17,62,250333,7,0,0,0,0,-1
836,17,71,70045,78,70,31,39,41,-15
839,56,79,9469,15,1,0,1,22,-1
863,74,87,9467,3,0,0,0,2,-1
880,80,82,10362,20,3,2,1,12,0
897,59,78,15415,8,2,0,2,4,3
920,56,78,10197,14,13,3,10,2,-3
962,2,75,21892,71,47,23,24,138,9
977,53,88,9435,4,1,1,0,6,-2
980,62,83,11481,23,3,2,1,12,-7
998,68,88,10207,16,6,1,5,10,2
1016,29,65,231486,45,24,6,18,14,-4
1033,83,70,10988,36,3,1,2,31,11
1050,62,81,10262,79,25,10,15,29,-6
1067,53,1479,11404,26,5,2,3,6,-1
1084,11,84,27951,82,70,26,44,123,15
1100,23,88,22367,58,18,12,6,27,-2
1103,2,84,76693,7,0,0,0,27,-3
1125,23,86,31538,67,29,12,17,25,4
1142,62,76,13407,27,6,0,6,15,-12
1159,59,69,9093,82,32,9,23,22,-3
1176,50,83,11169,1,1,1,0,0,1
1196,14,86,64641,29,2,0,2,61,0
1236,65,547,10663,66,53,12,41,72,-8
1239,74,547,10663,69,45,18,27,124,5
1260,68,86,10211,48,7,3,4,29,5
1277,62,73,10221,80,9,2,7,83,1
1294,59,76,9731,82,48,30,18,16,-1
1311,71,79,14081,67,13,4,9,90,-8
1328,23,1479,27901,53,17,2,15,28,-10
1349,62,1479,11719,9,1,0,1,7,-3
1367,56,78,14128,6,2,1,1,0,-1
1370,68,78,14128,29,8,2,6,0,5
1387,68,64,11417,33,9,3,6,6,-11
1404,35,86,21509,82,58,20,38,60,8
1422,53,1479,9466,5,0,0,0,2,2
1439,68,69,11359,48,10,0,10,42,0
1456,56,77,10317,47,8,4,4,22,8
