id,year,type
1,1990,playoff
3,1990,tournament
4,1991,playoff
6,1991,tournament
7,1992,playoff
9,1992,tournament
10,1993,playoff
12,1993,tournament
13,1994,playoff
15,1994,tournament
16,1995,playoff
18,1995,tournament
19,1996,playoff
21,1996,tournament
22,1997,playoff
24,1997,tournament
25,1998,playoff
27,1998,tournament
28,1999,playoff
30,1999,tournament
31,2000,playoff
33,2000,tournament
34,2001,playoff
36,2001,tournament
37,2002,playoff
39,2002,tournament
40,2003,playoff
42,2003,tournament
43,2004,playoff
45,2004,tournament
46,2005,playoff
48,2005,tournament
49,2006,playoff
51,2006,tournament
52,2007,playoff
54,2007,tournament
55,2008,playoff
57,2008,tournament
58,2009,playoff
60,2009,tournament
61,2010,playoff
63,2010,tournament
64,2011,playoff
66,2011,tournament
67,2012,playoff
69,2012,tournament
70,2013,playoff
72,2013,tournament
73,2014,playoff
75,2014,tournament
76,2015,playoff
78,2015,tournament
79,2016,playoff
81,2016,tournament
82,2017,playoff
84,2017,tournament
85,2018,playoff
87,2018,tournament
88,2019,playoff
90,2019,tournament
91,2020,playoff
93,2020,tournament
2,1990,regular
5,1991,regular
8,1992,regular
11,1993,regular
14,1994,regular
17,1995,regular
20,1996,regular
23,1997,regular
26,1998,regular
29,1999,regular
32,2000,regular
35,2001,regular
38,2002,regular
41,2003,regular
44,2004,regular
47,2005,regular
50,2006,regular
53,2007,regular
56,2008,regular
59,2009,regular
62,2010,regular
65,2011,regular
68,2012,regular
71,2013,regular
74,2014,regular
77,2015,regular
80,2016,regular
83,2017,regular
86,2018,regular
89,2019,regular
92,2020,regular
