"id","team_id","season_id","games","points","goals_scored","goals_missed","position_in_championship","position_in_conference","playoff_fact","position_in_division","nhl_id"
7251,216,85,4,,6,10,14,,TRUE,,
7149,216,85,56,,10,116,11,,TRUE,,
19560,216,80,60,100,163,137,11,7,FALSE,5,
21844,216,83,60,104,145,124,9,6,FALSE,4,
5669,216,82,5,,9,13,11,,TRUE,,
2317,6116,76,60,,9,172,3,,TRUE,,
518,6116,64,54,,3,149,6,,TRUE,,
1328,6116,70,52,,5,150,4,,TRUE,,
2334,6116,76,11,,28,23,5,,TRUE,,
1339,6116,70,21,,58,39,1,,TRUE,,
1831,6116,73,54,,7,171,1,,TRUE,,
883,6116,67,54,,8,144,3,,TRUE,,
23337,6116,86,56,80,134,139,18,9,FALSE,6,
12085,6116,88,11,,24,24,7,,TRUE,,
28165,6116,89,62,72,153,139,10,5,FALSE,3,
12015,6116,88,62,,6,153,10,,TRUE,,
1,200,58,56,,6,203,1,,TRUE,,
2,188,58,56,,8,189,2,,TRUE,,
3,188,91,36,,6,111,1,,TRUE,,
4,203,91,37,,3,99,2,,TRUE,,
5,191,91,35,,7,103,3,,TRUE,,
6,192,91,38,,4,94,4,,TRUE,,
8,2338,91,35,,3,77,6,,TRUE,,
9,200,91,38,,3,91,7,,TRUE,,
10,46,91,35,,1,97,8,,TRUE,,
11,206,91,36,,3,81,9,,TRUE,,
12,724,91,36,,3,94,10,,TRUE,,
13,1621,91,35,,3,86,11,,TRUE,,
14,216,91,38,,3,106,12,,TRUE,,
15,13644,91,34,,3,78,13,,TRUE,,
16,931,91,35,,2,79,14,,TRUE,,
17,198,91,37,,3,97,15,,TRUE,,
18,202,91,38,,6,85,16,,TRUE,,
19,20132,91,37,,3,82,17,,TRUE,,
20,204,91,37,,2,89,18,,TRUE,,
21,15526,91,37,,3,73,19,,TRUE,,
22,205,91,37,,2,72,20,,TRUE,,
23,194,91,35,,3,66,21,,TRUE,,
25,649,91,37,,3,69,23,,TRUE,,
26,1577,91,36,,2,83,24,,TRUE,,
27,188,91,36,,6,111,1,,TRUE,,
28,203,91,37,,3,99,2,,TRUE,,
29,191,91,35,,7,103,3,,TRUE,,
30,192,91,38,,4,94,4,,TRUE,,
31,6116,91,37,,2,103,5,,TRUE,,
32,2338,91,35,,3,77,6,,TRUE,,
