iter	RMSE
0	8.065796464
1	7.886018714
2	7.716715838
3	7.565941844
4	7.428756815
5	7.291612434
6	7.169152515
7	7.056920495
8	6.947126279
9	6.846781242
10	6.758137878
11	6.671902898
12	6.591191363
13	6.515710799
14	6.440769522
15	6.375683077
16	6.316450508
17	6.260968686
18	6.206837822
19	6.162170956
20	6.112324993
21	6.068554861
22	6.027852896
23	5.988808726
24	5.950373169
25	5.91553912
26	5.88166275
27	5.853271769
28	5.827939076
29	5.804174406
30	5.77643748
31	5.75309154
32	5.734217997
33	5.710770715
34	5.691812271
35	5.674709446
36	5.660250723
37	5.64554636
38	5.630545621
39	5.615587726
40	5.602994296
41	5.589594726
42	5.57731887
43	5.565993756
44	5.554582283
45	5.543164846
46	5.532912069
47	5.524743136
48	5.516428259
49	5.508718089
50	5.50177269
51	5.493674055
52	5.485029931
53	5.477870265
54	5.469711833
55	5.462262187
56	5.456261999
57	5.448934981
58	5.441764733
59	5.435058704
60	5.429351124
61	5.423934635
62	5.417672487
63	5.41026716
64	5.403838405
65	5.398711971
66	5.393483389
67	5.387852333
68	5.382318438
69	5.376766385
70	5.372563523
71	5.368296588
72	5.363641351
73	5.35868831
74	5.354911653
75	5.350297869
76	5.345921262
77	5.340559343
78	5.336700305
79	5.333033887
80	5.329033967
81	5.325226952
82	5.322543038
83	5.317766027
84	5.312689064
85	5.3102679
86	5.307930397
87	5.304418761
88	5.299713028
89	5.296572022
90	5.293208877
91	5.290788124
92	5.287416567
93	5.284449766
94	5.281302475
95	5.277651914
96	5.273609441
97	5.269779987
98	5.26683552
99	5.265030004
100	5.262167392
101	5.259800595
102	5.256915853
103	5.254408107
104	5.250896387
105	5.248406445
106	5.24461223
107	5.241574702
108	5.23963919
109	5.236180806
110	5.234381194
111	5.231737651
112	5.229376061
113	5.226289362
114	5.223693799
115	5.221016649
116	5.218322611
117	5.21570646
118	5.213330766
119	5.211785149
120	5.209339507
121	5.207632174
122	5.205056731
123	5.199948963
124	5.197219938
125	5.193586452
126	5.191992974
127	5.190238986
128	5.189061033
129	5.186810259
130	5.184791675
131	5.182863558
132	5.181952508
133	5.180486809
134	5.177567942
135	5.174961052
136	5.172808424
137	5.17164529
138	5.171119146
139	5.169078651
140	5.167221436
141	5.165113679
142	5.16186669
143	5.160327536
144	5.159099259
145	5.15733473
146	5.155335924
147	5.154473997
148	5.153433934
149	5.152463347
150	5.150395099
151	5.148586849
152	5.147901705
153	5.146466495
154	5.145487372
155	5.14394752
156	5.141983508
157	5.140474573
158	5.139537893
159	5.135595794
160	5.132609602
161	5.131360748
162	5.128984149
163	5.128604895
164	5.125774912
165	5.123078131
166	5.120990356
167	5.118655209
168	5.11734142
169	5.115274011
170	5.112994377
171	5.110566659
172	5.109030557
173	5.10710742
174	5.106286994
175	5.105150023
176	5.100052232
177	5.098293509
178	5.096512155
179	5.095201627
180	5.093905513
181	5.092362439
182	5.091529037
183	5.088663045
184	5.086674061
185	5.085447126
186	5.083193374
187	5.08215091
188	5.078993461
189	5.07740726
190	5.076002152
191	5.075338755
192	5.073260935
193	5.070878129
194	5.068365034
195	5.066509512
196	5.064004768
197	5.063402239
198	5.060573113
199	5.057824764
200	5.056566795
201	5.055465976
202	5.052637408
203	5.051489765
204	5.050245553
205	5.049138387
206	5.048429956
207	5.046801077
208	5.046061325
209	5.044898123
210	5.043877304
211	5.042878576
212	5.040779499
213	5.037629102
214	5.035745988
215	5.033592218
216	5.031537747
217	5.030206789
218	5.028590096
219	5.02717478
220	5.026229268
221	5.024716942
222	5.022834171
223	5.021518555
224	5.019697603
225	5.017958707
226	5.016795574
227	5.014821855
228	5.013054036
229	5.011219934
230	5.009288991
231	5.007486715
232	5.005582765
233	5.002652181
234	5.000868019
235	4.998886394
236	4.996417746
237	4.994665106
238	4.993908325
239	4.992295576
240	4.991114846
241	4.98904792
242	4.987669893
243	4.984331224
244	4.983995705
245	4.981443252
246	4.981337825
247	4.979232643
248	4.976617817
249	4.975112009
250	4.972572308
251	4.970089887
252	4.967012977
253	4.965088248
254	4.963190399
255	4.963128978
256	4.960772604
257	4.959197719
258	4.957351407
259	4.95712133
260	4.955790953
261	4.954267232
262	4.952408703
263	4.949756023
264	4.94704639
265	4.945457847
266	4.943028897
267	4.941374942
268	4.939561007
269	4.937366861
270	4.935100025
271	4.935004624
272	4.934893086
273	4.933908768
274	4.931813631
275	4.929889709
276	4.927293489
277	4.926908278
278	4.926809438
279	4.924839563
280	4.922532132
281	4.920428668
282	4.918125969
283	4.915430713
284	4.912815695
285	4.911159132
286	4.909228448
287	4.907422657
288	4.905026684
289	4.902534703
290	4.900483318
291	4.899993007
292	4.898277017
293	4.896966393
294	4.895257933
295	4.892918502
296	4.891045456
297	4.889345661
298	4.887026145
299	4.886383971
300	4.885182999
301	4.885090224
302	4.882385487
303	4.880710563
304	4.878929234
305	4.877712179
306	4.876291379
307	4.874375898
308	4.873220722
309	4.870959877
310	4.870327334
311	4.867736676
312	4.866106428
313	4.863681216
314	4.862624779
315	4.86038961
316	4.859019486
317	4.857113663
318	4.855960229
319	4.853993467
320	4.85210059
321	4.849838836
322	4.848214207
323	4.847257682
324	4.846268818
325	4.844545408
326	4.843349937
327	4.841858834
328	4.841301268
329	4.84089242
330	4.837696286
331	4.836358482
332	4.835338515
333	4.833284971
334	4.831436858
335	4.828553251
336	4.828319477
337	4.827404466
338	4.826258487
339	4.826183
340	4.824360164
341	4.822211529
342	4.820852111
343	4.820340963
344	4.818569334
345	4.815259573
346	4.813559069
347	4.812040393
348	4.811386765
349	4.810638842
350	4.808758337
351	4.807825682
352	4.806936232
353	4.805822881
354	4.802851107
355	4.801050837
356	4.799256359
357	4.797853876
358	4.795927077
359	4.793318406
360	4.791745968
361	4.790043915
362	4.787778959
363	4.786006688
364	4.785088265
365	4.783493635
366	4.781066311
367	4.779013056
368	4.777447764
369	4.77525444
370	4.77297765
371	4.770069863
372	4.768425415
373	4.766382474
374	4.764668035
375	4.763072522
376	4.762240362
377	4.760040756
378	4.75728913
379	4.754536069
380	4.752797575
381	4.750125745
382	4.749116601
383	4.747653036
384	4.74557312
385	4.74383491
386	4.74329533
387	4.741296026
388	4.739569518
