iter	Passed	Remaining
0	23	47934
1	38	38714
2	52	35235
3	69	34657
4	84	33561
5	99	33067
6	115	32873
7	130	32543
8	145	32205
9	159	31816
10	173	31447
11	186	30917
12	199	30505
13	212	30170
14	224	29644
15	235	29199
16	245	28643
17	256	28230
18	267	27899
19	277	27467
20	289	27264
21	300	27052
22	312	26898
23	324	26706
24	334	26391
25	343	26100
26	354	25902
27	365	25706
28	375	25508
29	385	25322
30	396	25208
31	407	25045
32	416	24846
33	426	24671
34	436	24531
35	446	24383
36	457	24286
37	468	24204
38	478	24083
39	488	23944
40	498	23828
41	508	23698
42	518	23597
43	529	23559
44	542	23572
45	553	23532
46	565	23496
47	580	23599
48	592	23598
49	602	23509
50	614	23472
51	626	23463
52	637	23425
53	647	23333
54	657	23264
55	669	23231
56	679	23163
57	689	23090
58	700	23058
59	711	23011
60	721	22945
61	731	22869
62	741	22808
63	751	22743
64	764	22743
65	774	22681
66	783	22610
67	794	22564
68	804	22515
69	814	22457
70	825	22429
71	835	22361
72	845	22310
73	855	22256
74	864	22193
75	874	22137
76	885	22111
77	895	22061
78	906	22035
79	916	21985
80	926	21959
81	936	21901
82	947	21891
83	958	21870
84	969	21834
85	979	21793
86	988	21746
87	999	21706
88	1009	21674
89	1019	21635
90	1029	21600
91	1039	21559
92	1050	21535
93	1060	21507
94	1071	21480
95	1081	21444
96	1091	21414
97	1101	21386
98	1111	21349
99	1123	21346
100	1133	21321
101	1144	21292
102	1154	21269
103	1164	21238
104	1175	21211
105	1185	21177
106	1196	21161
107	1206	21130
108	1216	21111
109	1227	21088
110	1237	21065
111	1247	21025
112	1256	20990
113	1267	20961
114	1277	20943
115	1287	20910
116	1298	20897
117	1308	20864
118	1318	20840
119	1328	20816
120	1338	20786
121	1348	20763
122	1358	20736
123	1368	20711
124	1379	20689
125	1389	20670
126	1399	20646
127	1410	20623
128	1419	20590
129	1430	20575
130	1440	20553
131	1451	20534
132	1460	20506
133	1471	20489
134	1481	20463
135	1491	20438
136	1501	20416
137	1511	20390
138	1520	20357
139	1530	20339
140	1540	20315
141	1551	20298
142	1561	20276
143	1571	20254
144	1581	20236
145	1592	20216
146	1602	20204
147	1612	20177
148	1622	20153
149	1631	20127
150	1641	20105
151	1652	20086
152	1661	20060
153	1671	20041
154	1683	20036
155	1692	20010
156	1703	19991
157	1712	19968
158	1722	19945
159	1733	19931
160	1743	19912
161	1753	19894
162	1763	19868
163	1772	19839
164	1781	19817
165	1793	19810
166	1803	19791
167	1814	19782
168	1824	19762
169	1834	19747
170	1844	19730
171	1854	19708
172	1864	19685
173	1874	19672
174	1884	19656
175	1896	19653
176	1907	19641
177	1917	19627
178	1927	19609
179	1937	19589
180	1947	19568
181	1957	19551
182	1967	19532
183	1977	19512
184	1987	19495
185	1997	19482
186	2007	19465
187	2017	19445
188	2027	19427
189	2037	19406
190	2047	19391
191	2056	19367
192	2066	19349
193	2076	19334
